name,party,dim1,dim2
Oliver Vogt,CDU/CSU,0.058508078444458815,0.03738726915604802
Ottilie Klein,CDU/CSU,0.056597876793719096,0.03635046716311667
Patricia Lips,CDU/CSU,0.050177037852900376,0.029128360778424914
Patrick Schnieder,CDU/CSU,0.05613489100556147,0.03642287995618715
Paul Lehrieder,CDU/CSU,0.05820313316467963,0.037111448837751984
Paul Ziemiak,CDU/CSU,0.04693348797366147,0.023281014472243934
Peter Aumer,CDU/CSU,0.058508078444458815,0.03738726915604802
Peter Beyer,CDU/CSU,0.049275538905325135,0.028016380482400564
Peter Ramsauer,CDU/CSU,0.03639171198878783,0.018542414786582986
Petra Nicolaisen,CDU/CSU,0.05757936886544413,0.03596411203702275
Philipp Amthor,CDU/CSU,0.05444501772923799,0.03314194865118867
Ralph Brinkhaus,CDU/CSU,0.05528083430159901,0.032241591055371034
Ralph Edelhäußer,CDU/CSU,0.05367120458081025,0.033369330837415605
Reinhard Brandl,CDU/CSU,0.05247215580087135,0.032370994137329696
Roderich Kiesewetter,CDU/CSU,0.04593195924506316,0.03160015305398911
Ronja Kemmer,CDU/CSU,0.04375060257003297,0.028748418961154338
Sabine Weiss,CDU/CSU,0.04430814426232208,0.030902356372884215
Sebastian Brehm,CDU/CSU,0.0510719519375893,0.031542115319054924
Sepp Müller,CDU/CSU,0.057514857576088006,0.03564787913061434
Serap Güler,CDU/CSU,0.05442395452496435,0.03339259614018309
Silke Launert,CDU/CSU,0.05219384530477291,0.03103184657293281
Silvia Breher,CDU/CSU,0.04882786649258146,0.030407636385148113
Simone Borchardt,CDU/CSU,0.048344810673750134,0.02692446062707705
Stefan Heck,CDU/CSU,0.04990444000487433,0.03186085829322637
Stefan Kaufmann,CDU/CSU,0.010250847706339106,0.0038484094142432193
Stefan Müller,CDU/CSU,0.043942640782252906,0.033846243206770946
Stefan Nacke,CDU/CSU,0.05766116239780367,0.03610229185757311
Stefan Rouenhoff,CDU/CSU,0.05361957074719912,0.033807433937526034
Steffen Bilger,CDU/CSU,0.05566248971208757,0.0353395479733794
Stephan Albani,CDU/CSU,0.05614961684484916,0.03329820093919423
Stephan Mayer,CDU/CSU,0.04984369787466258,0.03205605425064597
Stephan Pilsinger,CDU/CSU,0.04730960567085106,0.029747559681995297
Stephan Stracke,CDU/CSU,0.056677935059995355,0.035156891950960424
Susanne Hierl,CDU/CSU,0.05588875957482762,0.039568655873179766
Thomas Bareiß,CDU/CSU,0.04562754947700568,0.028797161648527747
Thomas Erndl,CDU/CSU,0.05273414115819361,0.034690553530002805
Thomas Gebhart,CDU/CSU,0.051352018302624716,0.03467137839689762
Thomas Heilmann,CDU/CSU,0.04887994807755834,0.0322617330639673
Thomas Jarzombek,CDU/CSU,0.053226003673005,0.03303610067240559
Thomas Rachel,CDU/CSU,0.054600312787328575,0.035981351931529446
Thomas Röwekamp,CDU/CSU,0.052872246538229556,0.03233393841474106
Thomas Silberhorn,CDU/CSU,0.057780793018505326,0.036930008536369574
Thorsten Frei,CDU/CSU,0.05846031995849294,0.03666788323217105
Tilman Kuban,CDU/CSU,0.04883980803043129,0.027803571414210845
