name,party,irt,svd_imp,svd_dc
Mechthild Heil,CDU/CSU,0.9543716746587061,0.03159881046499861,0.042453810549676924
Mechthilde Wittmann,CDU/CSU,0.9626086505638587,0.02915945750024882,0.05628613665985853
Melanie Bernstein,CDU/CSU,0.9581958173997663,0.031695584829813966,0.03305931358837285
Melanie Wegling,SPD,-0.825335987173923,0.0428221702903861,-0.031038533219885596
Melis Sekmen,BÜNDNIS 90/DIE GRÜNEN,-0.18621770776606278,0.04241486445975826,-0.02414721136710472
Merle Spellerberg,BÜNDNIS 90/DIE GRÜNEN,-0.8381234722179919,0.04308374861439657,-0.03254107199753429
Metin Hakverdi,SPD,-0.6603738475866726,0.04338597964074963,-0.0328642053106199
Michael Brand,CDU/CSU,0.9493952872243675,0.030296405284285538,0.04686754562711646
Michael Breilmann,CDU/CSU,0.9157483817788457,0.029987773827765192,0.05091758341317507
Michael Donth,CDU/CSU,0.9583759077025249,0.0293735225161514,0.056999386705582675
Michael Espendiller,AfD,1.533233832144019,0.009513059360790962,0.03318756853029748
Michael Frieser,CDU/CSU,0.9445014593079399,0.02770057432430832,0.04504501741338284
Michael Gerdes,SPD,-1.3554295241059588,0.04323571247537437,-0.03174023038921268
Michael Grosse-Brömer,CDU/CSU,0.9620859739685007,0.029434096093133095,0.04867821990209394
Michael Hennrich,CDU/CSU,0.92058313807524494,0.026618779342185962,0.02155878497519345
Michael Kaufmann,AfD,1.65165022550269,0.008126961771611511,0.03239764674229481
Michael Kellner,BÜNDNIS 90/DIE GRÜNEN,-0.06576274033231481,0.042248370245700585,-0.031137765159395404
Michael Kießling,CDU/CSU,0.9409941843158991,0.029602787850869304,0.05655841229145179
Michael Kruse,FDP,-0.374236931687082,0.04268513226516666,-0.029808262059448483
Michael Link,FDP,-0.18669018776656499,0.042361564593633314,-0.022700124021152106
Michael Meister,CDU/CSU,0.967863333055041,0.029419467531781235,0.058489576261659265
Michael Müller,SPD,-1.318987034269477,0.0430805426319821,-0.032945100692596804
Michael Roth,SPD,-0.8911374028390809,0.042012508485254715,-0.02856445283169264
Michael Sacher,BÜNDNIS 90/DIE GRÜNEN,-1.9299508292169774,0.04267274064707353,-0.027468981858908476
